"MEturquoise"	"MEblue"	"MEyellow"	"MEblack"	"MEgreen"
"1"	0.485667239767674	-0.453381543416997	-0.273639295331088	-0.205605714144773	-0.442382554325279
"2"	0.457458236313126	-0.422380980132393	-0.243419142079592	-0.168747239354086	-0.424252176277117
"3"	0.459853901041399	-0.420223672420564	-0.248016797513432	-0.175369285555632	-0.42920674332449
"4"	-0.142107961957778	0.0915037843606909	-0.146063475633763	0.406831552289897	0.3452354062023
"5"	-0.104812898920224	0.105029838181604	-0.156835482538496	0.424949230190797	0.322772387383326
"6"	-0.175173035998116	0.150548195958134	-0.123534709713429	0.446920687327948	0.42735731544647
"7"	-0.0908243427062699	0.0193971543719608	-0.188443023572945	0.21739855475263	0.170840131608183
"8"	-0.336009673799894	0.429611365617127	0.606920229268147	-0.353335776677036	0.0651927982153772
"9"	-0.335718152244228	0.459103936128687	0.528838814500417	-0.345032330196335	-0.0206917904294535
"10"	-0.218333311495688	0.0407919213517495	0.244192882614181	-0.24800967863341	-0.0148647744993166
