"Cortex1"	"Cortex2"	"Cortex3"	"PD1"	"PD2"	"PD3"	"PD4"	"TRK1"	"TRK2"	"TRK3"	"MM.turquoise"	"MM.blue"	"MM.yellow"	"MM.black"	"MM.green"	"group"
"63"	292240.68	301338.19	282979.98	178770	204901.38	183337.46	192224.35	205540.72	200916.45	199620.36	0.927837484251214	-0.840440546886244	-0.423563521526026	-0.476517335863839	-0.927184645391366	"turquoise"
"64"	1772229.87	2354923.75	1113109.27	577430.87	1233991.36	644020.58	481247.8	405559.79	407568.76	464398.24	0.849956376808238	-0.794926144501062	-0.600983050252373	-0.101709999962903	-0.644465927529358	"turquoise"
"65"	333743.81	370799.56	266020.9	179727.75	265903.14	193927.84	167595.67	156741.04	161112.08	155377.06	0.887964884210203	-0.822640838859762	-0.643691640662899	-0.0763810469903123	-0.653768621508547	"turquoise"
"66"	525876.16	502941.39	562698.58	388382.29	428076.59	353046.52	430450.12	244626.67	293745.27	340456.24	0.932480253348599	-0.943433864186779	-0.865933325829386	0.0886340005320166	-0.602194244569308	"turquoise"
"67"	1356521.26	1318743.39	1281134.18	640330.03	642625.81	770998.07	816675.99	546486.48	497806.98	677223.94	0.983922301490737	-0.96036651947646	-0.692318397663998	-0.202987578745844	-0.79579713557335	"turquoise"
"68"	4703630.36	4540608.8	4680914.21	2962551.89	2988965.93	2983766.81	3350331.81	2716239.83	2750003.11	2978060.18	0.990464417421789	-0.950545515675802	-0.652365832856983	-0.266653041806864	-0.84534812240322	"turquoise"
"69"	3958750.74	3867862.17	3949459.18	2090244.25	2063346.12	2007415.97	2409813.99	1735146.01	1652351.83	1967694.11	0.994874266652603	-0.956549239360338	-0.671339451332807	-0.237563129587719	-0.828939753203351	"turquoise"
"70"	33386.6	38291.25	26746.69	19919.05	25899.02	18987.96	22766.9	19282.05	20441.23	21064.49	0.873282137508288	-0.823786806866941	-0.562169158973589	-0.232261124541189	-0.750166358886487	"turquoise"
"71"	48459.37	51009.32	54747.17	30281.9	25260.31	32714.85	30173.85	18532.97	20147.54	33257.67	0.950275330425875	-0.967212745734342	-0.714411092120889	-0.148550833112769	-0.74556401564659	"turquoise"
"72"	50363.53	46083.22	48542.85	29885.82	25026.77	27599.76	28624.92	36544.37	34903.46	34343.34	0.804616493410252	-0.711078325174482	-0.186285616865917	-0.684341628193422	-0.964037331929049	"turquoise"
"73"	1083192.54	1035640.92	1108144.7	708979.04	713705	707997.05	729228.18	655086.16	647166.47	714631.5	0.987467197409222	-0.943920850470264	-0.62702687419618	-0.282000920848665	-0.849292558296452	"turquoise"
"74"	355757	336751.92	373194.53	219011.11	225756.14	224853.77	243936.64	207840.09	204349.16	226913.49	0.981796329048623	-0.938936242578935	-0.624077953860103	-0.28867775482935	-0.850810220501472	"turquoise"
"75"	673078.2	705128.56	655734.03	745008.73	678587.67	656854.34	568378.93	431698.04	424475.59	481247.21	0.609350776552624	-0.650602022877012	-0.902441348195792	0.61837266899605	-0.0343517050209434	"turquoise"
"76"	7776264.25	7834026.61	7674957.15	4647259.81	5245817.74	4434126.27	4870741.71	4210489.26	4160458.01	4604488.35	0.991789655764885	-0.942910082241141	-0.646190688691137	-0.250207507984949	-0.835788471918153	"turquoise"
"77"	934741.79	881699.57	927528.92	469196.7	465985.52	461719.26	539125.37	433438.86	426782.59	468981.5	0.985220142782022	-0.932987459840513	-0.605004992056162	-0.316479075465613	-0.869892362810303	"turquoise"
"78"	1958563.85	1861581.56	1796002.13	1149044.65	1082111.34	1071990.14	1355858.19	948788.88	899303.69	1137720.14	0.98213154278493	-0.96844529461666	-0.69619524433873	-0.21648150832526	-0.808710205144664	"turquoise"
"79"	244512.96	232374.8	253614.38	107199.41	131920.44	112591.08	127360.53	90116.95	90360.4	108977.15	0.992685398819812	-0.946978823586442	-0.663099337756247	-0.23355033929525	-0.825514448219657	"turquoise"
"80"	382210.38	369619.32	367328.14	248144.85	258628.17	212202.98	264485.79	228269.18	214938.83	230465.89	0.983513060326055	-0.933506803516993	-0.636648756690732	-0.265137470633666	-0.839779981451622	"turquoise"
"81"	2620183.21	2561201.94	2433507.65	1626845.48	1672572.03	1597245.98	1821682.94	1517346.88	1566041.14	1634826.56	0.985122316193736	-0.936972629952988	-0.624561328548645	-0.296604464143232	-0.86091405189936	"turquoise"
"82"	201894.7	186522.16	191212.51	145953.7	142545.54	143658.57	153991.8	128818.02	128637.5	131370.82	0.985660000488208	-0.945021674174826	-0.729913475812317	-0.137748206119332	-0.75913240822584	"turquoise"
"83"	427296.64	419369.64	405668.82	282296.86	275476.04	276357.71	266314.8	215881.21	210115.08	227488.49	0.989552044190332	-0.949144815241533	-0.750052945828588	-0.0851221304262424	-0.726650546754859	"turquoise"
"84"	540492.1	580029.26	507516.8	282975.4	296904.2	262449.44	278104.22	213126	223626.99	279082.95	0.98605098179112	-0.949300937786899	-0.652333546959134	-0.241434908967429	-0.8269090908748	"turquoise"
"85"	70904.34	61206.64	70207.72	38072.54	41888.13	35517.66	43562.38	35152.75	29964.28	34325.4	0.979950918056692	-0.932263161909168	-0.6668444534488	-0.212896830855208	-0.799510174181683	"turquoise"
"86"	12730876.87	11879601.1	12528385.04	8114846.44	8351264.22	7798173.08	8520988.72	5634195.09	5715721.8	6708978.7	0.987847132035501	-0.968394047295901	-0.805168461059995	-0.0321497821273798	-0.699093936098454	"turquoise"
"87"	1852163.79	1699756.33	1983669.27	1282842.32	1156089.59	1217792.51	1382404.49	1090317.64	1056290.08	1248908.85	0.963718490776501	-0.948258656326052	-0.674172656024765	-0.219366648897295	-0.79721945414228	"turquoise"
"88"	1593119.8	1414974.51	1717007.28	897615.69	675561.02	939201.95	1024770.17	932748.55	864010.32	1035301.28	0.897422063156288	-0.860930245613312	-0.462311247330322	-0.443416939922467	-0.88285772485667	"turquoise"
"89"	36315.98	43285.98	30048.81	35381.14	47257.04	35043.57	44723.25	20041.1	24613.45	27315.32	0.3751287622712	-0.44532578508389	-0.794184378417209	0.648000537479426	0.116795476358376	"turquoise"
"90"	512127.49	491791.37	482017.45	364134.57	363215.63	360329.82	387199.75	316747.23	321814.52	333822.09	0.992595447290783	-0.956041400526611	-0.736137827888746	-0.139281940555755	-0.76722273956319	"turquoise"
"91"	1067713.68	1038842.83	909533.46	299692.08	415847.75	269673.98	374506.91	304798.23	304313.59	315316.73	0.972221456462382	-0.903561645957532	-0.561184367737222	-0.345020384459297	-0.878583657693327	"turquoise"
"92"	388806.12	392997.1	379796.02	317480.15	320185.45	316337	293252.95	246403.83	253318.75	266813.47	0.952009077316341	-0.930062449752368	-0.842896625967778	0.102552546751925	-0.588113224450966	"turquoise"
"93"	794954.25	797514.1	817604.99	461928.79	547987.42	530984.74	558671.31	437625.68	453028.4	518206.56	0.985132372669189	-0.952874427002258	-0.675420366871488	-0.222887194604503	-0.815724759104497	"turquoise"
"94"	2473788.6	2454532.01	2718219.9	1300406.97	1521931.86	1232681.93	1431911.48	1480870.72	1413340.5	1422367.97	0.944669155695362	-0.864409660075476	-0.475350911772907	-0.427793712343542	-0.9112042269883	"turquoise"
"95"	1929142.52	1947257	1865652.4	1445439.52	1480007.99	1458770.6	1597074.83	1258992.36	1101103.08	1361831.97	0.964309341323317	-0.971674544753194	-0.820511182960192	0.00139750990145166	-0.656669401510787	"turquoise"
"96"	605360.75	723554.42	701400.21	727621.32	656832.06	798254.16	646368.04	464881.94	439604.88	548910.03	0.435972845955674	-0.519911855200509	-0.844986001497349	0.714004673140124	0.148077299543357	"turquoise"
"97"	7509546.97	7623813.88	8021259.6	5019116.64	5554611.65	4488044.05	5574765.64	4028210.36	4238962.8	4822157.65	0.984411804980909	-0.959787661652641	-0.72508620937321	-0.156157037635321	-0.782010335605055	"turquoise"
"98"	73954517.89	73159713.08	75337537.2	49357382.51	48727748.49	50795476.29	56862828.24	41346012.65	42353048.59	47472660.4	0.987544865422629	-0.967288833137658	-0.739690511407584	-0.148206705533815	-0.772250704860081	"turquoise"
"99"	75094168.57	75625003.77	78287057.25	50212832.39	49012222.11	48669856.85	55390087.25	40536676.26	40627201.91	47511286.74	0.992475140924396	-0.972754375974376	-0.731891709972973	-0.159447638101771	-0.782810962782798	"turquoise"
"100"	76821337.23	75267440.2	79078526.17	50840825.3	50749456.85	48576952.47	52294076.58	41058332.04	40214996.57	46697755.39	0.99723849653839	-0.96885393169633	-0.725652389476609	-0.155784422858742	-0.780720430317614	"turquoise"
"101"	20058557.57	19752616.53	21810522.76	12748748.5	11613370.83	10437062.61	13162752.55	9616144.08	10104851.11	13635656.46	0.966798366204751	-0.960109538450706	-0.635744492704762	-0.286675812865653	-0.848229435168404	"turquoise"
"102"	162721.52	164679.95	189085.58	114600.43	146603.4	108319.93	122266.15	96445.19	99895.91	124821.19	0.921967638841779	-0.916120200140459	-0.702450317498205	-0.106664020809649	-0.710571317780875	"turquoise"
"103"	37730.03	32845.11	47727.65	27221.39	28394.87	24223.31	29952.16	23439.36	20769.21	23106.03	0.88204501171107	-0.849011852602023	-0.66865314328389	-0.0968058822792083	-0.666726064521925	"turquoise"
"104"	607743.83	554578.73	607975.89	213516.5	229242.41	188755.61	258289.89	195276.88	201294.54	215989.88	0.978658483095162	-0.91656306681931	-0.571141505120053	-0.350489305046246	-0.887635677491218	"turquoise"
"105"	29167573.77	26671450.17	28538649.62	13997540.54	14425488.65	13581636.82	16454119.72	10758916.71	11216887.52	13694031.44	0.994134557130686	-0.959703214127039	-0.678063727593149	-0.233103501301439	-0.827402527061436	"turquoise"
"106"	1323479.81	1238287.31	1193490.75	1180582.26	1283888.35	804909.14	884542.52	639042.52	730225.93	831335.49	0.769582398820433	-0.778255325422505	-0.807825449393023	0.264239863562225	-0.37869775410938	"turquoise"
"107"	8063314.24	8092807.67	8618122.51	4910256.23	5034970.05	4917446.43	5448866.57	4104988.72	4285914.79	4875792.72	0.991951635624662	-0.957935289766226	-0.679758637755911	-0.223675959671189	-0.822025204281263	"turquoise"
"108"	3856301.39	3754356.06	3613120.44	2609117.37	2658225.47	2567705.14	2479788.75	1718630.83	1761516.73	2016522.09	0.973656710817896	-0.953593115615471	-0.831856572941555	0.0430690410383221	-0.640130509723092	"turquoise"
"109"	76276.13	74465.73	71333.65	54768.93	63594.12	56881.44	54279.25	47500.29	46635.96	54961.62	0.957276104408112	-0.947733453537982	-0.773360539887158	-0.0227675372661511	-0.668671333469189	"turquoise"
"110"	2576291.88	2777750.67	2779525.21	1706162.64	1728262.17	1734473.4	1763275.19	1759972.34	1690377.89	1772237.89	0.95961914581645	-0.893053451172072	-0.521290855773594	-0.381581202701599	-0.890590403233337	"turquoise"
"111"	424134.67	378950.83	436284.55	283008.72	301560.27	293924.62	272852.23	219463.45	227199.64	253687.6	0.971135458847415	-0.941853927404683	-0.761453552161416	-0.0538224953496992	-0.697066301079073	"turquoise"
"112"	506869.45	499542.92	480658.05	421043.21	387407.27	398269.55	387691.26	271077.57	297464.8	357184.88	0.922749673770262	-0.952447227057027	-0.896065639705915	0.160040819004551	-0.539450454894453	"turquoise"
"113"	95506.21	86364.27	89259.11	48860.33	48557.44	42844.04	53544.58	53093.24	57063.87	47107.06	0.923982368469932	-0.824389781980504	-0.426843377366084	-0.479833864139348	-0.930122855760981	"turquoise"
"114"	105849.93	99865.92	103474.71	47858.75	51238.07	50137.78	61601.11	44692.55	45184	48650.9	0.986297138199548	-0.934038986144895	-0.623349700639754	-0.295506405455698	-0.859007908139888	"turquoise"
"115"	260274.69	255334.03	273630.68	169618.81	194276.84	138031.11	170104.43	101458.7	118252.24	150648.36	0.969629105098459	-0.961718760200071	-0.787010791419883	-0.045504521076481	-0.705302923466593	"turquoise"
"116"	178861.52	146548.73	157243.17	80896.5	103147.65	89719.65	95872.64	146654.36	147992.17	93899.53	0.575512991700311	-0.390128995645283	0.0905384330497875	-0.743713867772913	-0.841307589650621	"turquoise"
"117"	53654.18	71367	57446.06	55938.05	45576.99	44441.15	36950.68	37059.72	32400.72	40488.38	0.810390807267462	-0.803813878616455	-0.684286568332843	0.0712105222480851	-0.507046678796738	"turquoise"
"118"	311693.1	384198.29	207247.9	98832.71	204399.01	90608.45	83594.67	83955.57	72324.08	81055.66	0.878242756550465	-0.81540877929947	-0.582838570215236	-0.16243060579184	-0.700537010067081	"turquoise"
"119"	1682712.9	1608238.83	1560606.95	799359.22	733047.56	790750.4	976086.5	758035.9	636839.5	819070.31	0.979182591125557	-0.940835973741461	-0.613562010542441	-0.308162819945362	-0.856985218613232	"turquoise"
"120"	981232.91	1074361.98	954098.52	1334592.47	1072358.14	1066714.1	899600.21	632462.09	617628.09	724498.84	0.382386774935241	-0.44738339054658	-0.805447780393746	0.747172740209504	0.199597411260559	"turquoise"
"121"	285963.13	337525.28	238808.25	143330.24	152622.43	165715.46	151816.58	107705.12	100431.99	135431.51	0.947607801225076	-0.918813624191139	-0.684131850032579	-0.142256340918592	-0.733648373427979	"turquoise"
"122"	159621.68	189821.46	174813.42	120685.97	130881.77	120886.13	114918.65	69622.03	78734.98	101606.32	0.938732696037044	-0.941558907386835	-0.845299941291336	0.0958133736339366	-0.592363583039249	"turquoise"
"123"	553322.33	508103.17	414994.63	395728.92	351703.97	362967.23	408545.21	326324.28	316573.83	356113.82	0.884084257198758	-0.882159150346611	-0.693205926456102	-0.102217260247639	-0.665558353333578	"turquoise"
"124"	1252591.86	1256944.84	1194307.55	791391.78	742589.15	766078.42	837302.53	622642.91	644024.05	716132.19	0.993748847224752	-0.96208440828295	-0.710056008096421	-0.181441701548625	-0.7947989664948	"turquoise"
"125"	18727395.21	18327691.72	18122132.22	11563781.32	12223752.39	11980807.43	13095734.8	9880780.48	10015652.44	11612982.65	0.996208241654137	-0.972065040475888	-0.720134093365734	-0.177310901352641	-0.794387785188131	"turquoise"
